timestamp,scan_idx,meas_idx,angle_deg,distance_mm,quality,x_mm,y_mm
2025-11-07T13:19:04.960Z,0,177,271.047,287.0,14,5.2,-287.0
2025-11-07T13:19:04.960Z,0,178,272.031,284.8,12,10.1,-284.6
2025-11-07T13:19:04.960Z,0,179,273.875,285.5,15,19.3,-284.8
2025-11-07T13:19:04.960Z,0,180,274.828,288.8,14,24.3,-287.7
2025-11-07T13:19:04.960Z,0,181,276.000,289.2,15,30.2,-287.7
2025-11-07T13:19:04.960Z,0,182,277.750,289.5,15,39.0,-286.9
2025-11-07T13:19:04.960Z,0,183,278.453,292.0,15,42.9,-288.8
2025-11-07T13:19:04.960Z,0,184,279.766,294.5,15,50.0,-290.2
2025-11-07T13:19:04.960Z,0,185,281.391,296.2,12,58.5,-290.4
2025-11-07T13:19:04.960Z,0,186,282.688,297.0,10,65.2,-289.7
2025-11-07T13:19:04.960Z,0,187,283.641,299.2,15,70.6,-290.8
2025-11-07T13:19:04.960Z,0,188,285.016,301.8,14,78.2,-291.4
2025-11-07T13:19:04.960Z,0,189,285.703,305.5,15,82.7,-294.1
2025-11-07T13:19:04.960Z,0,190,287.422,309.2,12,92.6,-295.1
2025-11-07T13:19:04.960Z,0,191,288.344,312.5,15,98.3,-296.6
2025-11-07T13:19:04.960Z,0,192,289.297,314.0,12,103.8,-296.4
2025-11-07T13:19:04.960Z,0,193,290.719,318.0,13,112.5,-297.4
2025-11-07T13:19:04.960Z,0,194,291.750,318.8,8,118.1,-296.1
2025-11-07T13:19:04.960Z,0,195,293.125,323.8,12,127.1,-297.7
2025-11-07T13:19:04.960Z,0,196,294.203,330.8,11,135.6,-301.7
2025-11-07T13:19:04.960Z,0,197,298.312,1796.8,15,852.2,-1581.8
2025-11-07T13:19:04.960Z,0,198,299.594,1802.8,15,890.3,-1567.6
2025-11-07T13:19:04.960Z,0,199,300.891,1809.2,15,928.9,-1552.6
2025-11-07T13:19:04.960Z,0,200,302.156,1822.0,15,969.7,-1542.5
2025-11-07T13:19:04.960Z,0,201,303.438,1822.0,15,1004.0,-1520.4
2025-11-07T13:19:04.960Z,0,202,304.703,1826.0,15,1039.6,-1501.2
2025-11-07T13:19:04.960Z,0,203,305.969,1841.5,15,1081.6,-1490.4
2025-11-07T13:19:04.960Z,0,204,307.188,2041.0,15,1233.6,-1626.0
2025-11-07T13:19:04.960Z,0,205,308.422,1997.8,15,1241.5,-1565.1
2025-11-07T13:19:04.960Z,0,206,309.734,1958.0,15,1251.6,-1505.7
2025-11-07T13:19:04.960Z,0,207,311.062,1914.2,15,1257.4,-1443.3
2025-11-07T13:19:04.960Z,0,208,312.312,1874.0,15,1261.5,-1385.8
2025-11-07T13:19:04.960Z,0,209,313.625,1835.2,15,1266.2,-1328.5
2025-11-07T13:19:04.960Z,0,210,314.938,1803.8,15,1274.1,-1276.8
2025-11-07T13:19:04.960Z,0,211,316.203,1826.5,8,1318.4,-1264.1
2025-11-07T13:19:04.960Z,0,212,317.438,1851.2,9,1363.5,-1252.2
2025-11-07T13:19:04.960Z,0,213,318.688,1869.5,8,1404.2,-1234.2
2025-11-07T13:19:04.960Z,0,214,319.953,1904.2,8,1457.7,-1225.2
2025-11-07T13:19:04.960Z,0,215,321.219,1941.8,9,1513.7,-1216.2
2025-11-07T13:19:04.960Z,0,216,322.469,1992.8,12,1580.3,-1214.0
2025-11-07T13:19:04.960Z,0,217,323.750,2008.0,15,1619.3,-1187.3
2025-11-07T13:19:04.960Z,0,218,325.078,1996.0,15,1636.6,-1142.6
2025-11-07T13:19:04.960Z,0,219,326.516,1567.2,15,1307.1,-864.7
2025-11-07T13:19:04.960Z,0,220,327.766,1585.8,15,1341.3,-845.8
2025-11-07T13:19:04.960Z,0,221,329.031,1649.0,15,1413.9,-848.5
2025-11-07T13:19:04.960Z,0,222,330.266,1726.8,15,1499.4,-856.4
2025-11-07T13:19:04.960Z,0,223,331.500,1804.5,15,1585.8,-861.0
2025-11-07T13:19:04.960Z,0,224,332.766,1894.5,15,1684.5,-867.0
2025-11-07T13:19:04.960Z,0,225,334.031,1878.8,15,1689.1,-822.7
2025-11-07T13:19:04.960Z,0,226,335.281,1866.0,15,1695.0,-780.3
2025-11-07T13:19:04.960Z,0,227,336.562,1829.5,15,1678.6,-727.7
2025-11-07T13:19:04.960Z,0,228,337.859,1833.8,8,1698.5,-691.1
2025-11-07T13:19:04.960Z,0,229,339.141,1881.0,12,1757.7,-669.8
2025-11-07T13:19:04.960Z,0,230,340.391,1870.5,13,1762.0,-627.8
2025-11-07T13:19:04.960Z,0,231,341.688,1852.5,14,1758.7,-582.1
2025-11-07T13:19:04.960Z,0,232,342.969,1845.2,13,1764.3,-540.5
2025-11-07T13:19:04.960Z,0,233,344.250,1839.2,14,1770.2,-499.2
2025-11-07T13:19:04.960Z,0,234,345.531,1827.5,15,1769.5,-456.6
2025-11-07T13:19:04.960Z,0,235,346.781,1829.8,15,1781.3,-418.4
2025-11-07T13:19:04.960Z,0,236,347.984,1808.8,15,1769.1,-376.5
2025-11-07T13:19:04.960Z,0,237,348.688,6763.2,12,6631.9,-1326.7
2025-11-07T13:19:04.960Z,0,238,353.750,1805.8,15,1795.0,-196.6
2025-11-07T13:19:04.960Z,0,239,355.031,1795.2,15,1788.5,-155.5
2025-11-07T13:19:04.960Z,0,240,356.344,1794.2,15,1790.6,-114.4
2025-11-07T13:19:04.960Z,0,241,357.594,1801.8,15,1800.2,-75.6
2025-11-07T13:19:04.960Z,0,242,358.828,1802.8,15,1802.4,-36.9
